所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,就職領域チーム
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LTチーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第3クリエイティブチーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第3クリエイティブチーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第4ユニット,
人事本部,,,,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第2クリエイティブチーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第2クリエイティブチーム,
マーケティング部,データ戦略室,,,
マーケティング部,データ戦略室,データアーキテクトグループ,第一チーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
システム本部,レバテック開発部,LTブランド開発グループ,オウンドBrandチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,海外ユニット
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,新規事業領域ユニット
システム本部,レバウェル開発部,DataForceグループ,開発SLチーム,
法務部,,,,
法務部,,,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LTユニット
システム本部,ソリューション開発部,医療テック事業,開発チームA,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,転職領域チーム
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,海外ユニット
システム本部,ソリューション開発部,オンライン診療事業,開発チーム,
システム本部,ソリューション開発部,オンライン診療事業,開発チーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LMCユニット
オンライン診療事業部,,,,
法務部,,,,
法務部,,,,
法務部,,,,
法務部,,,,
中途採用事業本部,ハタラクティブ事業部,第2新卒グループ,2卒RAチーム,HTRA2卒ユニット1
システム本部,レバウェル開発部,DataForceグループ,開発SRチーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第3ユニット,
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
システム本部,レバウェル開発部,レバウェルグループ,LWtoBチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,HRテック事業領域ユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LTユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第4ユニット,
システム本部,レバウェル開発部,レバウェルグループ,LWバックエンドリプレイスチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
人事本部,人事戦略部,組織開発チーム,,
システム本部,レバウェル開発部,レバウェルグループ,スカウトディレクターチーム,
システム本部,ソリューション開発部,オンライン診療事業,PdMチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,IT事業領域ユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,レバテック開発部,ビジネスサポートグループ,管理部チーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインディレクションチーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,オウンドITSチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,海外ユニット
システム本部,レバテック開発部,LTブランド開発グループ,レバテックIDチーム,
システム本部,レバウェル開発部,DataForceグループ,ディレクターチーム,
システム本部,レバテック開発部,ビジネスサポートグループ,ITRチーム,
システム本部,レバテック開発部,ビジネスサポートグループ,ITRチーム,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,就職領域チーム
システム本部,レバテック開発部,新卒領域プロダクト開発グループ,オウンドLTRチーム,
システム本部,レバテック開発部,ITRプロダクト開発グループ,流入改善チーム,
システム本部,レバテック開発部,DevOps推進グループ,SREチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,HTユニット
システム本部,ソリューション開発部,アグリゲートメディア事業,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,プロダクトグループ,リサーチ&プランニングチーム,
システム本部,ソリューション開発部,医療テック事業,開発チームA,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,海外ユニット
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,医療・介護事業領域ユニット
システム本部,ソリューション開発部,アグリゲートメディア事業,,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,CTユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,HRテック事業領域ユニット
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,医療・介護事業領域ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第6ユニット,
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,
システム本部,ソリューション開発部,キャリアチケット事業,オウンド開発グループ,
システム本部,レバウェル開発部,レバウェルSREグループ,プロダクトSREチーム,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,首都圏Aチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,海外ユニット
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,就職領域チーム
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,新規事業領域ユニット
システム本部,レバテック開発部,ビジネスサポートグループ,LINE開発チーム,
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
システム本部,ソリューション開発部,オンライン診療事業,開発チーム,
システム本部,レバテック開発部,新卒領域プロダクト開発グループ,オウンドLTRチーム,
システム本部,情報セキュリティ室,,,
レバテック株式会社,クオリティアシュアランス事業部,QAエンジニアグループ,QAエンジニア第2ユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
LeveragesU.S.Inc.,帰国GO.com,SalesDevision,,
LeveragesU.S.Inc.,帰国GO.com,RADevision,,
LeveragesU.S.Inc.,帰国GO.com,RADevision,,
LeveragesU.S.Inc.,,,,
レバテック株式会社,クオリティアシュアランス事業部,QAエンジニアグループ,QAエンジニア第2ユニット,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,LMCユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,医療・介護事業領域ユニット
法務部,,,,
システム本部,ソリューション開発部,医療テック事業,開発チームA,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,ソリューション開発部,アグリゲートメディア事業,,
M&Aアドバイザリー事業部,,,,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第1クリエイティブチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,若年層・新卒事業領域ユニット
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,HRテック事業領域ユニット
HRテック事業部,Bizグループ,,,
海外事業本部,外国人人材紹介事業部,,,
海外事業本部,外国人人材紹介事業部,,,
海外事業本部,外国人人材紹介事業部,,,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,転職領域チーム
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,ソリューション開発部,医療テック事業,開発チームB,
海外事業本部,外国人人材紹介事業部,,,
システム本部,NALYSYS開発部,NALYSYSプロダクトチーム,プロダクトマネジメントユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,カレッジチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,テクノロジー戦略室,,,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,IT事業領域ユニット
LeveragesU.S.Inc.,帰国GO.com,AdminDevision,,
レバテック株式会社,クオリティアシュアランス事業部,QAエンジニアグループ,QAエンジニア第2ユニット,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,医療・介護事業領域ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第4ユニット,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,LTユニット
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTP開発チーム,
システム本部,レバウェル開発部,レバウェルSREグループ,プロダクトSREチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,
海外事業本部,外国人人材紹介事業部,,,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第4クリエイティブチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインOpsチーム,
システム本部,レバウェル開発部,CXグループ,新規事業チーム,
システム本部,レバウェル開発部,データマネジメントグループ,データマネジメントチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,レバウェル開発部,CXグループ,ケアチーム,
システム本部,レバテック開発部,ITRプロダクト開発グループ,オウンドITRチーム,
システム本部,レバウェル開発部,CXグループ,メディカルチーム,
レバテック株式会社,管理部,法務グループ,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LTユニット
システム本部,ソリューション開発部,医療テック事業,開発チームA,
システム本部,レバテック開発部,ビジネスサポートグループ,管理部チーム,
システム本部,レバウェル開発部,DataForceグループ,ディレクターチーム,
システム本部,レバウェル開発部,DataForceグループ,開発SRチーム,
システム本部,情報セキュリティ室,,,
LeveragesU.S.Inc.,,,,
キャリアチケット事業本部,,,,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原サテライトチーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原サテライトチーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原サテライトチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
システム本部,レバテック開発部,ビジネスサポートグループ,管理部チーム,
システム本部,レバウェル開発部,CXグループ,,
システム本部,レバウェル開発部,CXグループ,新規事業チーム,
システム本部,レバテック開発部,ビジネスサポートグループ,管理部チーム,
システム本部,レバテック開発部,新卒領域プロダクト開発グループ,オウンドLTRチーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原サテライトチーム,
中途採用事業本部,カスタマーロイヤルティ推進室,CTTグループ,企画チーム,
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,CSユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第7ユニット,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,インターンチームAチーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,就職領域チーム
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第3ユニット,
システム本部,レバテック開発部,ITSプロダクト開発グループ,リモピアチーム,
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,インターンチームAチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第2ユニット
海外事業本部,外国人人材紹介事業部,,,
システム本部,レバテック開発部,ITSプロダクト開発グループ,オウンドITSチーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第7ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第5ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第7ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第2ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第7ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第1ユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第4ユニット
システム本部,レバテック開発部,ITRプロダクト開発グループ,マイページ開発チーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理秋葉原チーム,WL管理秋葉原ユニット1
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
システム本部,レバテック開発部,ITRプロダクト開発グループ,マイページ開発チーム,
システム本部,レバテック開発部,新卒領域プロダクト開発グループ,オウンドLTRチーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTPリプレイスチーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTP開発チーム,
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,,
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,兵庫Bチーム,
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第4ユニット
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第2ユニット
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,インターンチームAチーム,
エージェント第二事業本部,医療技師エージェント事業部,営業推進グループ,インサイドセールスチーム,
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,,
システム本部,レバテック開発部,ITSプロダクト開発グループ,流入ドメインチーム,
システム本部,ソリューション開発部,医療テック事業,開発チームA,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第4クリエイティブチーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第3クリエイティブチーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,未経験RAチーム,未経験ユニット
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,インサイドセールスチーム,東京ユニット
システム本部,ソリューション開発部,医療テック事業,開発チームA,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,兵庫グループ,兵庫Aチーム
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,ベンダーマネジメントチーム,,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,第3ユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LMCユニット
エージェント第三事業本部,薬剤師エージェント事業部,薬剤師エージェントグループ,薬剤師Aチーム,
システム本部,ソリューション開発部,キャリアチケット事業,スカウト開発グループ,就職領域チーム
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,SIerユニット
システム本部,レバウェル開発部,CXグループ,ケアチーム,
システム本部,レバウェル開発部,CXグループ,メディカルチーム,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,SIerユニット
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,副業チーム,CNS／IN／DSユニット
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,インターンチームAチーム,
レバテック株式会社,ITリクルーティング事業部,,,
LeveragesU.S.Inc.,帰国GO.com,AdminDevision,,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第4ユニット,
マーケティング部,データ戦略室,データアーキテクトグループ,,
マーケティング部,データ戦略室,データアナリティクスグループ,,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,SIerユニット
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,SIerユニット
システム本部,レバテック開発部,LTブランド開発グループ,オウンドBrandチーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第5ユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第2ユニット
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,副業チーム,WEBユニット
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,インターンBチーム,
システム本部,ソリューション開発部,オンライン診療事業,PdMチーム,
LeveragesU.S.Inc.,LeveragesCareerU.S.,,,
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,関東Bチーム,
中途採用事業本部,転職メディア事業部,ビジネスグループ,セールスチーム,セールスユニット
海外事業本部,メキシコ支社,AdministrationTeam,,
海外事業本部,,,,
海外事業本部,海外教育事業部,ベトナム支社,日本語教育グループ,教務チーム
海外事業本部,海外教育事業部,ベトナム支社,アドミングループ,
海外事業本部,海外教育事業部,ベトナム支社,日本語教育グループ,教務チーム
海外事業本部,海外教育事業部,ベトナム支社,日本語教育グループ,教務チーム
海外事業本部,海外教育事業部,ベトナム支社,日本語教育グループ,教務チーム
海外事業本部,メキシコ支社,AdministrationTeam,,
海外事業本部,海外教育事業部,ベトナム支社,日本語教育グループ,教務チーム
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Eチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Eチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Cチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Aチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Eチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Aチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Cチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Bチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Aチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Aチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Aチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Aチーム,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,HTチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,データチーム,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,インサイドセールスチーム,コールオペレーションユニット
立川支店,ヒューマンキャピタル事業部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,人事部（立川）,,,
立川支店,人事部（立川）,,,
佐賀支店,佐賀支店（マーケティング推進室）,HTチーム,,
立川支店,LMC管理本部（立川）,,,
立川支店,レバテック事業部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,人事部（立川）,,,
佐賀支店,佐賀支店（マーケティング推進室）,求人チーム,,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,データチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,HTチーム,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Fチーム,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,HTチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
LW経営企画本部,組織戦略部,人材開発グループ,中途教育チーム,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,ヒューマンキャピタル事業部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Bチーム,
立川支店,LMC管理本部（立川）,,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,企画チーム,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Bチーム,
立川支店,LMC管理本部（立川）,,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Bチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Bチーム,
立川支店,LMC管理本部（立川）,,,
立川支店,LMC管理本部（立川）,,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,,,
レバテック株式会社,ITソリューション事業部,ITS支店グループ,地方事業推進チーム,BPOユニット
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Aチーム,
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Cチーム,
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
M&Aアドバイザリー事業部,インサイドセールスチーム,,,
スタッフィング事業本部,看護スタッフィング事業部,東京グループ,東京Aチーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用FLユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,
中途採用事業本部,HC事業企画部,事業推進グループ,RAアシスタントチーム,RAアシスタント西日本ユニット
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Aチーム,
LW管理本部,LW管理部,派遣事業管理グループ,介護派遣管理チーム,
レバテック株式会社,管理部,サポートグループ,,
スタッフィング事業本部,カスタマーサクセス推進室,CASカスタマーサポートチーム,,
マーケティング部,業務推進室,業務支援チーム,,
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS首都圏Bチーム,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北信越Cチーム
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第2ユニット
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Dチーム,
レバテック株式会社,管理部,業務管理グループ,手続チーム,経理ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまCチーム
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
佐賀支店,佐賀支店（プロジェクト推進室）,情報処理アシスタントグループ,事業推進Aチーム,
システム本部,レバウェル開発部,CXグループ,メディカルチーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用RAユニット
佐賀支店,佐賀支店（プロジェクト推進室）,架電アシスタントグループ,営業推進Bチーム,
立川支店,LMC管理本部（立川）,,,
スタッフィング事業本部,カスタマーサクセス推進室,CASカスタマーサポートチーム,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,ライターマネジメントチーム,
佐賀支店,佐賀支店（マーケティング推進室）,PRMチーム,,
人事本部,人事労務部,,,
佐賀支店,佐賀支店（マーケティング推進室）,HTチーム,,
中途採用事業本部,BPO推進室,SOグループ,LTチーム,エントリーユニット
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,アシスタントユニット
海外事業本部,海外メディア事業部,メディアグループ,ソーシャルメディアチーム,
